2023-03-29 16:25 | INFO | Fichier import détécté.
2023-03-29 16:25 | INFO | Fichier export détécté.
2023-03-29 16:25 | WARNING | Lecture du fichier csv_import impossible.
2023-03-29 16:25 | WARNING | Lecture du fichier csv_export impossible.
2023-03-29 16:25 | WARNING | Analyse impossible.
2023-03-29 16:26 | INFO | Fichier import détécté.
2023-03-29 16:26 | INFO | Fichier export détécté.
2023-03-29 16:26 | WARNING | Lecture du fichier csv_import impossible.
2023-03-29 16:26 | INFO | Lecture du fichier csv_export.
2023-03-29 16:26 | WARNING | Analyse impossible.
2023-03-29 16:26 | INFO | Fichier import détécté.
2023-03-29 16:26 | INFO | Fichier export détécté.
2023-03-29 16:26 | INFO | Lecture du fichier csv_import.
2023-03-29 16:26 | INFO | Lecture du fichier csv_export.
2023-03-29 16:26 | INFO | Analyse effectuée.
2023-03-29 16:26 | INFO | Fichier import détécté.
2023-03-29 16:26 | INFO | Fichier export détécté.
2023-03-29 16:26 | INFO | Lecture du fichier csv_import.
2023-03-29 16:26 | INFO | Lecture du fichier csv_export.
2023-03-29 16:26 | INFO | Analyse effectuée.
